,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
0,David de Gea,es ESP,GK,31,58.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
1,Bruno Fernandes,pt POR,"MF,FW",27,57.3,14,146,51,34.9,2.55,0.89,0.07,0.2,20.2,7.0,4,4,11.9,10.3,0.09,-2.9,-3.3,Matches
2,Marcus Rashford,eng ENG,FW,24,47.6,30,167,80,47.9,3.51,1.68,0.17,0.36,16.3,7.0,1,1,20.6,20.6,0.15,2.4,2.4,Matches
3,Casemiro,br BRA,MF,30,43.3,7,71,25,35.2,1.64,0.58,0.1,0.28,20.9,0.0,0,0,5.0,5.0,0.09,-1.0,-1.0,Matches
4,Luke Shaw,eng ENG,DF,27,40.5,1,15,4,26.7,0.37,0.1,0.07,0.25,18.7,1.0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
5,Lisandro Martínez,ar ARG,DF,24,37.9,1,15,1,6.7,0.4,0.03,0.07,1.0,13.4,0.0,0,0,0.7,0.7,0.06,0.3,0.3,Matches
6,Diogo Dalot,pt POR,DF,23,36.0,2,27,8,29.6,0.75,0.22,0.07,0.25,19.6,0.0,0,0,2.7,2.7,0.11,-0.7,-0.7,Matches
7,Antony,br BRA,FW,22,34.4,8,122,47,38.5,3.55,1.37,0.07,0.17,19.6,0.0,0,0,8.4,8.4,0.09,-2.4,-2.4,Matches
8,Christian Eriksen,dk DEN,MF,30,34.0,2,58,15,25.9,1.71,0.44,0.03,0.13,20.8,6.0,0,0,5.3,5.3,0.12,-4.3,-4.3,Matches
9,Tyrell Malacia,nl NED,DF,22,29.9,0,13,3,23.1,0.44,0.1,0.0,0.0,18.8,0.0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
10,Raphaël Varane,fr FRA,DF,29,29.6,0,11,5,45.5,0.37,0.17,0.0,0.0,11.1,0.0,0,0,0.9,0.9,0.1,-0.9,-0.9,Matches
11,Aaron Wan-Bissaka,eng ENG,DF,24,28.5,0,15,4,26.7,0.53,0.14,0.0,0.0,16.0,0.0,0,0,1.4,1.4,0.11,-1.4,-1.4,Matches
12,Victor Lindelöf,se SWE,DF,28,27.9,0,5,0,0.0,0.18,0.0,0.0,,9.3,0.0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
13,Jadon Sancho,eng ENG,"FW,MF",22,26.9,7,34,11,32.4,1.26,0.41,0.21,0.64,14.2,0.0,0,0,5.2,5.2,0.17,1.8,1.8,Matches
14,Fred,br BRA,MF,29,25.5,6,47,12,25.5,1.84,0.47,0.13,0.5,19.7,0.0,0,0,3.0,3.0,0.08,0.0,0.0,Matches
15,Scott McTominay,sct SCO,MF,25,19.0,3,27,12,44.4,1.42,0.63,0.11,0.25,15.0,0.0,0,0,2.9,2.9,0.16,-0.9,-0.9,Matches
16,Wout Weghorst,nl NED,"FW,MF",29,18.6,2,39,17,43.6,2.09,0.91,0.05,0.12,12.4,0.0,0,0,3.7,3.7,0.16,-2.7,-2.7,Matches
17,Harry Maguire,eng ENG,DF,29,17.9,0,8,1,12.5,0.45,0.06,0.0,0.0,9.8,0.0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
18,Anthony Martial,fr FRA,FW,26,16.0,9,36,18,50.0,2.26,1.13,0.22,0.44,13.5,0.0,1,1,6.4,5.6,0.2,0.6,0.4,Matches
19,Alejandro Garnacho,ar ARG,"FW,MF",18,13.5,5,44,16,36.4,3.25,1.18,0.11,0.31,16.5,0.0,0,0,3.7,3.7,0.12,0.3,0.3,Matches
20,Cristiano Ronaldo,pt POR,FW,37,11.7,3,55,12,21.8,4.69,1.02,0.04,0.17,16.5,4.0,1,1,6.6,5.9,0.11,-3.6,-3.9,Matches
21,Marcel Sabitzer,at AUT,MF,28,11.6,3,24,10,41.7,2.07,0.86,0.13,0.3,17.9,1.0,0,0,1.5,1.5,0.1,0.5,0.5,Matches
22,Anthony Elanga,se SWE,FW,20,8.0,0,18,5,27.8,2.26,0.63,0.0,0.0,16.6,0.0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
23,Donny van de Beek,nl NED,MF,25,3.3,0,3,0,0.0,0.91,0.0,0.0,,8.8,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
24,Facundo Pellistri,uy URU,"FW,MF",20,2.5,0,2,1,50.0,0.81,0.4,0.0,0.0,15.3,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
25,Martin Dúbravka,sk SVK,GK,33,2.0,0,0,0,,0.0,0.0,,,,,0,0,,,,,,Matches
26,Tom Heaton,eng ENG,GK,36,2.0,0,0,0,,0.0,0.0,,,,,0,0,,,,,,Matches
27,Kobbie Mainoo,eng ENG,MF,17,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
28,Charlie McNeill,eng ENG,DF,18,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
29,Brandon Williams,eng ENG,DF,21,0.1,0,0,0,,0.0,0.0,,,,,0,0,,,,,,Matches
